epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
180,5501.98,0.52679,0.33117,0.89983,0.96489,0.94186,0.97506,0.79461,0.82906,0.4014,1.0251,0.000126598,0.000126598,0.000126598
181,5532.17,0.51547,0.3232,0.89452,0.95696,0.94506,0.97371,0.79527,0.82877,0.40296,1.02371,0.000121099,0.000121099,0.000121099
182,5562.33,0.52322,0.32441,0.89287,0.95658,0.94503,0.9724,0.79315,0.83206,0.40844,1.02393,0.0001156,0.0001156,0.0001156
183,5592.5,0.51322,0.32034,0.89439,0.97021,0.93606,0.97384,0.79264,0.83298,0.40907,1.0237,0.0001101,0.0001101,0.0001101
184,5622.68,0.51567,0.32101,0.89362,0.97077,0.93838,0.97704,0.7952,0.82809,0.40416,1.02166,0.000104601,0.000104601,0.000104601
185,5652.94,0.51611,0.31962,0.89676,0.95869,0.94156,0.97435,0.79173,0.8288,0.40661,1.02216,9.91012e-05,9.91012e-05,9.91012e-05
186,5683.19,0.50888,0.32339,0.88844,0.96036,0.94376,0.97283,0.7921,0.82976,0.40906,1.0242,9.36017e-05,9.36017e-05,9.36017e-05
187,5713.36,0.50587,0.31555,0.8897,0.96066,0.94932,0.97429,0.79326,0.82752,0.40657,1.0232,8.81023e-05,8.81023e-05,8.81023e-05
188,5743.5,0.50686,0.31182,0.8918,0.96368,0.94493,0.9742,0.79082,0.82812,0.40458,1.0229,8.26028e-05,8.26028e-05,8.26028e-05
189,5773.62,0.51208,0.3207,0.89206,0.96402,0.94842,0.97421,0.79124,0.82964,0.40317,1.0234,7.71034e-05,7.71034e-05,7.71034e-05
190,5803.83,0.5004,0.31457,0.88832,0.96414,0.94843,0.97403,0.79218,0.83129,0.39942,1.02451,7.1604e-05,7.1604e-05,7.1604e-05
191,5835.34,0.44194,0.25079,0.83944,0.96601,0.94194,0.97211,0.7883,0.83391,0.40237,1.02844,6.61045e-05,6.61045e-05,6.61045e-05
192,5865.42,0.42222,0.23382,0.83229,0.97057,0.93793,0.97132,0.78559,0.83754,0.40645,1.0333,6.06051e-05,6.06051e-05,6.06051e-05
193,5895.46,0.41346,0.23434,0.8319,0.96847,0.94019,0.97186,0.78485,0.8373,0.4089,1.03565,5.51056e-05,5.51056e-05,5.51056e-05
194,5925.44,0.41537,0.22969,0.82918,0.96339,0.94628,0.97301,0.78459,0.83737,0.41061,1.03748,4.96062e-05,4.96062e-05,4.96062e-05
195,5955.34,0.40661,0.22576,0.82367,0.96324,0.94353,0.97339,0.78497,0.83815,0.41179,1.03992,4.41067e-05,4.41067e-05,4.41067e-05
196,5985.28,0.40811,0.22657,0.82507,0.96332,0.94264,0.97385,0.7858,0.83968,0.41112,1.04135,3.86073e-05,3.86073e-05,3.86073e-05
197,6015.19,0.40274,0.22508,0.82424,0.95683,0.9487,0.97405,0.78783,0.84045,0.40985,1.04307,3.31078e-05,3.31078e-05,3.31078e-05
198,6045.16,0.40028,0.22437,0.82386,0.96579,0.94323,0.97416,0.78785,0.83886,0.41004,1.0422,2.76084e-05,2.76084e-05,2.76084e-05
199,6075.01,0.3975,0.22158,0.82199,0.96902,0.94231,0.97457,0.78842,0.83751,0.40897,1.04166,2.21089e-05,2.21089e-05,2.21089e-05
200,6104.99,0.39784,0.22386,0.82496,0.97021,0.94168,0.97454,0.79096,0.8393,0.40938,1.04276,1.66095e-05,1.66095e-05,1.66095e-05
