epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1285.1,0.82181,0.59913,1.02028,0.93866,0.89773,0.95545,0.74337,0.89525,0.56065,1.03927,0.000885523,0.000885523,0.000885523
43,1315.34,0.82002,0.59446,1.01946,0.93591,0.8779,0.94445,0.73469,0.9026,0.55926,1.06638,0.000880023,0.000880023,0.000880023
44,1345.54,0.82296,0.58158,1.02113,0.94086,0.89429,0.9554,0.7347,0.94202,0.57387,1.08989,0.000874524,0.000874524,0.000874524
45,1375.64,0.8278,0.59735,1.02218,0.92996,0.89066,0.95328,0.73632,0.8937,0.56428,1.06461,0.000869024,0.000869024,0.000869024
46,1405.88,0.82758,0.58594,1.02585,0.92668,0.91419,0.95644,0.74763,0.87889,0.54217,1.04429,0.000863525,0.000863525,0.000863525
47,1436.1,0.81451,0.56684,1.0125,0.94596,0.89664,0.963,0.748,0.89693,0.53652,1.05586,0.000858025,0.000858025,0.000858025
48,1466.38,0.8264,0.57,1.01834,0.94156,0.89574,0.96174,0.74805,0.89782,0.54861,1.06425,0.000852526,0.000852526,0.000852526
49,1496.54,0.82327,0.57902,1.02414,0.90949,0.89182,0.94292,0.72971,0.90876,0.5926,1.06349,0.000847026,0.000847026,0.000847026
50,1526.7,0.80511,0.56087,1.00462,0.91999,0.90724,0.95941,0.75147,0.87126,0.58376,1.03767,0.000841527,0.000841527,0.000841527
51,1556.93,0.80233,0.56701,1.00588,0.93528,0.89868,0.95708,0.7443,0.88465,0.53678,1.04387,0.000836027,0.000836027,0.000836027
52,1587.14,0.80942,0.55849,1.00732,0.94154,0.90033,0.96005,0.75309,0.88,0.52338,1.05374,0.000830528,0.000830528,0.000830528
53,1617.29,0.8043,0.55664,1.01021,0.94252,0.9135,0.96282,0.75596,0.86388,0.50999,1.04383,0.000825029,0.000825029,0.000825029
54,1647.49,0.78771,0.55236,1.00346,0.92609,0.91097,0.95723,0.75227,0.87497,0.54974,1.0506,0.000819529,0.000819529,0.000819529
55,1677.63,0.80178,0.55327,1.00929,0.90184,0.91204,0.95296,0.74852,0.8822,0.56725,1.05563,0.00081403,0.00081403,0.00081403
56,1707.83,0.77471,0.54341,1.00134,0.93031,0.93296,0.96531,0.75941,0.88047,0.52354,1.05056,0.00080853,0.00080853,0.00080853
57,1737.98,0.78838,0.53787,1.00121,0.93508,0.92888,0.9652,0.75724,0.86282,0.50443,1.03763,0.000803031,0.000803031,0.000803031
58,1768.4,0.77181,0.53705,0.99648,0.91109,0.94059,0.96812,0.75725,0.85772,0.49341,1.03794,0.000797531,0.000797531,0.000797531
59,1799.12,0.77248,0.52397,0.99563,0.94247,0.91967,0.96153,0.75806,0.8562,0.50734,1.03181,0.000792032,0.000792032,0.000792032
60,1829.82,0.77726,0.54335,1.00444,0.94266,0.91967,0.96917,0.75635,0.86771,0.5041,1.0413,0.000786532,0.000786532,0.000786532
61,1860.37,0.77486,0.54074,1.00074,0.94885,0.91621,0.96275,0.75664,0.86436,0.52011,1.03694,0.000781033,0.000781033,0.000781033
62,1890.93,0.76943,0.52623,0.99648,0.95306,0.91103,0.96554,0.76652,0.85904,0.4946,1.03027,0.000775534,0.000775534,0.000775534
63,1921.3,0.76893,0.52819,0.99754,0.9529,0.92795,0.96906,0.75966,0.86262,0.49201,1.04465,0.000770034,0.000770034,0.000770034
64,1951.63,0.77025,0.51779,0.99037,0.94772,0.92096,0.96643,0.76043,0.86495,0.51366,1.03453,0.000764535,0.000764535,0.000764535
65,1981.93,0.75689,0.51311,0.98186,0.94564,0.91895,0.96565,0.7595,0.86777,0.502,1.04545,0.000759035,0.000759035,0.000759035
66,2012.43,0.75009,0.51718,0.98085,0.95032,0.90743,0.96675,0.76493,0.85689,0.5022,1.03423,0.000753536,0.000753536,0.000753536
67,2042.88,0.75447,0.51183,0.98217,0.93064,0.93796,0.96693,0.75801,0.86966,0.48706,1.03307,0.000748036,0.000748036,0.000748036
68,2073.47,0.74354,0.49035,0.98184,0.92998,0.92424,0.96165,0.75902,0.8747,0.50278,1.0479,0.000742537,0.000742537,0.000742537
69,2103.99,0.74663,0.51,0.9913,0.9548,0.90951,0.96397,0.75952,0.85858,0.50084,1.04112,0.000737037,0.000737037,0.000737037
70,2134.44,0.75233,0.50484,0.98941,0.94215,0.91571,0.96695,0.75908,0.8668,0.51203,1.04526,0.000731538,0.000731538,0.000731538
71,2164.98,0.74169,0.49549,0.98236,0.93194,0.91158,0.95609,0.75944,0.85719,0.51812,1.03855,0.000726038,0.000726038,0.000726038
72,2195.54,0.74307,0.50229,0.9857,0.94762,0.93029,0.96576,0.76455,0.84371,0.50335,1.03011,0.000720539,0.000720539,0.000720539
